SubjectCode,Condition,IAF_Pre,IAF_Post,Hit,RT,Condition_seq,sham_seq,phase
1,A,8.30078125,7.8125,0,0,S2,0,-1.38753004702748
1,A,8.30078125,7.8125,0,0,S2,0,-0.436292560088085
1,A,8.30078125,7.8125,0,0,S2,0,2.95970708245576
1,A,8.30078125,7.8125,0,0,S2,0,0.704149988787034
1,A,8.30078125,7.8125,0,0,S2,0,1.4012909415599
1,A,8.30078125,7.8125,0,0,S2,0,-2.98946003348484
1,A,8.30078125,7.8125,1,601,S2,0,-2.7955125876746
1,A,8.30078125,7.8125,0,0,S2,0,1.48295414594129
1,A,8.30078125,7.8125,0,0,S2,0,1.99310241960967
1,A,8.30078125,7.8125,0,0,S2,0,-1.45530033293486
1,A,8.30078125,7.8125,0,0,S2,0,0.186152874396785
1,A,8.30078125,7.8125,0,0,S2,0,2.14158618994956
1,A,8.30078125,7.8125,1,686,S2,0,-2.6878665125639
1,A,8.30078125,7.8125,0,0,S2,0,2.40590519774292
1,A,8.30078125,7.8125,0,0,S2,0,-2.2995329942596
1,A,8.30078125,7.8125,0,0,S2,0,2.98562804115972
1,A,8.30078125,7.8125,0,0,S2,0,2.80154435280937
1,A,8.30078125,7.8125,0,0,S2,0,2.11729177164735
1,A,8.30078125,7.8125,0,0,S2,0,-1.45536687377756
1,A,8.30078125,7.8125,0,0,S2,0,-2.83317031057675
1,A,8.30078125,7.8125,0,0,S2,0,0.629507095644845
1,A,8.30078125,7.8125,1,714,S2,0,-1.43820056713324
1,A,8.30078125,7.8125,0,0,S2,0,1.27153394723296
1,A,8.30078125,7.8125,1,1026,S2,0,-0.545464720431131
1,A,8.30078125,7.8125,1,1106,S2,0,-2.67682201574546
1,A,8.30078125,7.8125,0,0,S2,0,0.222772479973576
1,A,8.30078125,7.8125,1,753,S2,0,-1.71757058189495
1,A,8.30078125,7.8125,1,1041,S2,0,-0.702845527579471
1,A,8.30078125,7.8125,0,0,S2,0,-2.39112691749751
1,A,8.30078125,7.8125,0,0,S2,0,2.07772941216515
1,A,8.30078125,7.8125,0,0,S2,0,2.58725209438376
1,A,8.30078125,7.8125,0,0,S2,0,0.83287659138165
1,A,8.30078125,7.8125,0,0,S2,0,2.2217876506117
1,A,8.30078125,7.8125,0,0,S2,0,0.218278138028626
1,A,8.30078125,7.8125,0,0,S2,0,-0.590971972294842
1,A,8.30078125,7.8125,0,0,S2,0,-1.84231539702501
1,A,8.30078125,7.8125,1,976,S2,0,-2.58948605663792
1,A,8.30078125,7.8125,0,0,S2,0,1.00218317810697
1,A,8.30078125,7.8125,0,0,S2,0,-0.122932247916722
1,A,8.30078125,7.8125,1,696,S2,0,-0.241736678502166
1,A,8.30078125,7.8125,0,0,S2,0,2.78110876532697
1,A,8.30078125,7.8125,0,0,S2,0,1.34135560335604
1,A,8.30078125,7.8125,0,0,S2,0,0.0920526438417306
1,A,8.30078125,7.8125,0,0,S2,0,-1.66023339148236
1,A,8.30078125,7.8125,0,0,S2,0,-0.211333706480746
1,A,8.30078125,7.8125,0,0,S2,0,-0.388312084742478
1,A,8.30078125,7.8125,0,0,S2,0,0.94051477799771
1,A,8.30078125,7.8125,0,0,S2,0,-0.935441559719616
1,A,8.30078125,7.8125,1,555,S2,0,-3.12634386505691
1,A,8.30078125,7.8125,0,0,S2,0,-2.68036737123649
1,A,8.30078125,7.8125,0,0,S2,0,-0.664728688020433
1,A,8.30078125,7.8125,0,0,S2,0,1.2261762919672
1,A,8.30078125,7.8125,0,0,S2,0,0.2284413152468
1,A,8.30078125,7.8125,0,0,S2,0,-2.39984042862597
1,A,8.30078125,7.8125,0,0,S2,0,-0.38396465505865
1,A,8.30078125,7.8125,0,0,S2,0,0.380590653900689
1,A,8.30078125,7.8125,0,0,S2,0,0.762742787590132
1,A,8.30078125,7.8125,0,0,S2,0,2.0903381641449
1,A,8.30078125,7.8125,1,531,S2,0,0.714622920546825
1,A,8.30078125,7.8125,0,0,S2,0,0.0904516657934193
1,A,8.30078125,7.8125,0,0,S2,0,2.42756171079779
1,A,8.30078125,7.8125,0,0,S2,0,-2.09135547592396
1,A,8.30078125,7.8125,0,0,S2,0,-2.58839215038497
1,A,8.30078125,7.8125,0,0,S2,0,-0.00628321465471504
1,A,8.30078125,7.8125,0,0,S2,0,-0.817003234748009
1,A,8.30078125,7.8125,0,0,S2,0,-2.50642871178415
1,A,8.30078125,7.8125,0,0,S2,0,1.0194141254887
1,A,8.30078125,7.8125,0,0,S2,0,-1.67118421334998
1,A,8.30078125,7.8125,0,0,S2,0,2.4223617024014
1,A,8.30078125,7.8125,0,0,S2,0,-0.522263178289688
1,A,8.30078125,7.8125,0,0,S2,0,0.740062617928851
1,A,8.30078125,7.8125,0,0,S2,0,-2.45565994375715
